t,z_m,v_m,eds
0.0,0.025,0.0,0
0.01001001001001001,-0.467970011180783,-98.49484616172649,0
0.02002002002002002,-1.946854511213141,-196.9853888668082,0
0.03003003003003003,-4.411601734800271,-295.4700164099094,0
0.04004004004004004,-7.862145010372439,-393.94723223724486,0
0.050050050050050046,-12.298403180064538,-492.41558252364155,0
0.06006006006006006,-17.720280599716105,-590.873656172539,0
0.07007007007007007,-24.127667179556305,-689.3200846627909,0
0.08008008008008008,-31.520440068338754,-787.7535106778981,0
0.09009009009009009,-39.89846135003279,-886.1725581324132,0
0.10010010010010009,-49.26157976848127,-984.5758995995227,0
0.11011011011011011,-59.60963209978803,-1082.9622656687193,0
0.12012012012012012,-70.94244315231792,-1181.3304449458005,0
0.13013013013013014,-83.25982576669686,-1279.6792840528708,0
0.14014014014014015,-96.56158081581171,-1378.00768762834,0
0.15015015015015015,-110.84749725263923,-1476.3146186251092,0
0.16016016016016016,-126.11735562561103,-1574.5991241834179,0
0.17017017017017017,-142.37092646365434,-1672.8603322357908,0
0.18018018018018017,-159.60797193296173,-1771.0974496554727,0
0.19019019019019018,-177.8282479890542,-1869.3097731111843,0
0.20020020020020018,-197.03150437678104,-1967.496689067124,0
0.21021021021021022,-217.21748463032026,-2065.6576737829673,0
0.22022022022022023,-238.38592607317787,-2163.792293313865,0
0.23023023023023023,-260.53656215509415,-2261.90020722202,0
0.24024024024024024,-283.6691246424243,-2359.9811765716818,0
0.2502502502502503,-307.78334198556354,-2458.0350581942344,0
0.2602602602602603,-332.8789432300057,-2556.0618066985985,0
0.2702702702702703,-358.9556580763548,-2654.061474534687,0
0.2802802802802803,-386.0132168803249,-2752.034211993405,0
0.2902902902902903,-414.0513506527402,-2849.980267206649,0
0.3003003003003003,-443.06979265246554,-2947.899983851408,0
0.3103103103103103,-473.06828204972334,-3045.793801307631,0
0.3203203203203203,-504.04656108700044,-3143.6622574153316,0
0.3303303303303303,-536.0043791923379,-3241.5059762478386,0
0.34034034034034033,-568.9414932212335,-3339.3256675914595,0
0.35035035035035034,-602.857667456642,-3437.1221269454772,0
0.36036036036036034,-637.7526736089748,-3534.8962355221506,0
0.37037037037037035,-673.6262911560366,-3632.6489583482144,0
0.38038038038038036,-710.478311712576,-3730.3813264362657,0
0.39039039039039036,-748.3085364683413,-3828.09445737958,0
0.40040040040040037,-787.1167784576056,-3925.7895302919933,0
0.41041041041041043,-826.9028635701858,-4023.467778659601,0
0.42042042042042044,-867.6666305514418,-4121.130490340754,0
0.43043043043043044,-909.4079310022784,-4218.779007566062,0
0.44044044044044045,-952.1266293791431,-4316.414726938396,0
0.45045045045045046,-995.8226035206153,-4414.039091109565,0
0.46046046046046046,-1040.4957476323918,-4511.653562592456,0
0.47047047047047047,-1086.1459702812404,-4609.259659995394,0
0.4804804804804805,-1132.7731952834215,-4706.85891449366,0
0.4904904904904905,-1180.3773619270878,-4804.452864636927,0
0.5005005005005005,-1228.9584249722843,-4902.043056349255,0
0.5105105105105106,-1278.5163546509486,-4999.6310429290925,0
0.5205205205205206,-1329.0511366669102,-5097.218385049283,0
0.5305305305305306,-1380.5627721934484,-5194.80665065696,0
0.5405405405405406,-1433.051277540183,-5292.397378884429,0
0.5505505505505506,-1486.51668584632,-5389.992095290834,0
0.5605605605605606,-1540.9590453843555,-5487.592310505248,0
0.5705705705705706,-1596.3784184103167,-5585.199491705667,0
0.5805805805805806,-1652.7748811637607,-5682.815062619012,0
0.5905905905905906,-1710.148523867774,-5780.440403521129,0
0.6006006006006006,-1768.4994507289737,-5878.076851236787,0
0.6106106106106106,-1827.8277799375069,-5975.725699139681,0
0.6206206206206206,-1888.1336427205174,-6073.388189656158,0
0.6306306306306306,-1949.4171802840463,-6171.065480896794,0
0.6406406406406406,-2011.6785484802215,-6268.758682257094,0
0.6506506506506506,-2074.917912357274,-6366.468825355803,0
0.6606606606606606,-2139.13544546032,-6464.196859340504,0
0.6706706706706707,-2204.3313298313583,-6561.943650887616,0
0.6806806806806807,-2270.5057560092732,-6659.709984202403,0
0.6906906906906907,-2337.6589230298327,-6757.496561018963,0
0.7007007007007007,-2405.791038425689,-6855.304000600236,0
0.7107107107107107,-2474.9023150389135,-6953.132831626421,0
0.7207207207207207,-2544.992967986366,-7050.983478063918,0
0.7307307307307307,-2616.0632189845155,-7148.856274183367,0
0.7407407407407407,-2688.11329075311,-7246.751456647479,0
0.7507507507507507,-2761.1434068861945,-7344.669164250727,0
0.7607607607607607,-2835.1537918521153,-7442.609437919338,0
0.7707707707707707,-2910.144670993517,-7540.572220711303,0
0.7807807807807807,-2986.1162705273464,-7638.557357816369,0
0.7907907907907907,-3063.068813933082,-7736.564598907491,0
0.8008008008008007,-3141.0025201961234,-7834.593593073002,0
0.8108108108108109,-3219.9176058575586,-7932.643892981644,0
0.8208208208208209,-3299.814281072237,-8030.714962292574,0
0.8308308308308309,-3380.692749595798,-8128.806175671172,0
0.8408408408408409,-3462.553208784666,-8226.916818789043,0
0.8508508508508509,-3545.39584959605,-8325.046088324007,0
0.8608608608608609,-3629.2208556977193,-8423.193095679535,0
0.8708708708708709,-3714.028399131554,-8521.35687909212,0
0.8808808808808809,-3799.818643291291,-8619.536391115234,0
0.8908908908908909,-3886.591740012422,-8717.73052016299,0
0.9009009009009009,-3974.347829127967,-8815.938092878103,0
0.9109109109109109,-4063.087038468475,-8914.157874131899,0
0.9209209209209209,-4152.809483862023,-9012.388567024303,0
0.9309309309309309,-4243.515268870756,-9110.62881582684,0
0.9409409409409409,-4335.204481929775,-9208.87722890537,0
0.950950950950951,-4427.87719764147,-9307.132359132253,0
0.960960960960961,-4521.533475897445,-9405.392730920066,0
0.970970970970971,-4616.173361462371,-9503.656846541351,0
0.980980980980981,-4711.796883973988,-9601.923186128608,0
0.990990990990991,-4808.404057943106,-9700.190207674292,0
1.001001001001001,-4905.994882754544,-9798.456347484116,0
1.011011011011011,-5004.56934221422,-9896.720049250314,0
1.021021021021021,-5104.127403441046,-9994.979743910504,0
1.031031031031031,-5204.6690181597005,-10093.233867693983,0
1.0410410410410411,-5306.194123032466,-10191.480881758143,0
1.0510510510510511,-5408.702639659235,-10289.71927218846,0
1.0610610610610611,-5512.194474577503,-10387.947549998511,0
1.0710710710710711,-5616.669519262372,-10486.164251129956,0
1.0810810810810811,-5722.127650126555,-10584.36793645257,0
1.0910910910910911,-5828.568730006585,-10682.557215675439,0
1.1011011011011012,-5935.99260764923,-10780.730751574487,0
1.1111111111111112,-6044.399118359879,-10878.887252997538,0
1.1211211211211212,-6153.788085865489,-10977.025494894251,0
1.1311311311311312,-6264.159322314577,-11075.144318316134,0
1.1411411411411412,-6375.512628277231,-11173.242630416526,0
1.1511511511511512,-6487.847792745097,-11271.319404450614,0
1.1611611611611612,-6601.164594630349,-11369.373687168687,0
1.1711711711711712,-6715.46280469638,-11467.404612845861,0
1.1811811811811812,-6830.742184008813,-11565.41139304196,0
1.1911911911911912,-6947.002487667481,-11663.393329961871,0
1.2012012012012012,-7064.243464927597,-11761.34981696943,0
1.2112112112112112,-7182.464859199756,-11859.28033858743,0
1.2212212212212212,-7301.6664080499295,-11957.18447049762,0
1.2312312312312312,-7421.847844151491,-12055.061880690306,0
1.2412412412412412,-7543.008899532817,-12152.912338113842,0
1.2512512512512513,-7665.14930245636,-12250.735709324945,0
1.2612612612612613,-7788.268781656939,-12348.531958263662,0
1.2712712712712713,-7912.367066908516,-12446.301146631085,0
1.2812812812812813,-8037.443889024191,-12544.043433889336,0
1.2912912912912913,-8163.498979856203,-12641.759077261579,0
1.3013013013013013,-8290.532072803633,-12739.448430808563,0
1.3113113113113113,-8418.542907565805,-12837.111940947432,0
1.3213213213213213,-8547.531227117115,-12934.750154956777,0
1.3313313313313313,-8677.496781193464,-13032.363707196298,0
1.3413413413413413,-8808.439327305377,-13129.953316507499,0
1.3513513513513513,-8940.358630738014,-13227.519786213674,0
1.3613613613613613,-9073.254464551153,-13325.064004119904,0
1.3713713713713713,-9207.126609583222,-13422.58694248755,0
1.3813813813813813,-9341.974857675543,-13520.089641790632,0
1.3913913913913913,-9477.799011902238,-13617.573221334347,0
1.4014014014014013,-9614.59888617744,-13715.038870413364,0
1.4114114114114114,-9752.374307503194,-13812.487830453072,0
1.4214214214214214,-9891.125115969446,-13909.92139500959,0
1.4314314314314314,-10030.851164754053,-14007.34090976976,0
1.4414414414414414,-10171.552320122782,-14104.74777255115,0
1.4514514514514514,-10313.228461493702,-14202.143432034487,0
1.4614614614614614,-10455.879483980973,-14299.529353820559,0
1.4714714714714714,-10599.505298040805,-14396.907053668436,0
1.4814814814814814,-10744.105829033291,-14494.278070246699,0
1.4914914914914914,-10889.681017821229,-14591.643946692242,0
1.5015015015015014,-11036.230820770117,-14689.006230610274,0
1.5115115115115114,-11183.755209748158,-14786.366474074319,0
1.5215215215215214,-11332.254172126255,-14883.72623362621,0
1.5315315315315314,-11481.72771077802,-14981.087070276099,0
1.5415415415415414,-11632.175843823692,-15078.450535905828,0
1.5515515515515514,-11783.598605169609,-15175.818141063648,0
1.5615615615615615,-11935.996044978088,-15273.19139598274,0
1.5715715715715715,-12089.36822731801,-15370.57176839288,0
1.5815815815815815,-12243.715230045635,-15467.960680096023,0
1.5915915915915915,-12399.037144804608,-15565.35950696629,0
1.6016016016016015,-12555.334077025951,-15662.76957894997,0
1.6116116116116117,-12712.606145928075,-15760.192180065527,0
1.6216216216216217,-12870.853484328942,-15857.628547070613,0
1.6316316316316317,-13030.076234636137,-15955.079835340262,0
1.6416416416416417,-13190.274553257672,-16052.547142410851,0
1.6516516516516517,-13351.448606898948,-16150.031494918936,0
1.6616616616616617,-13513.598570443235,-16247.533835766746,0
1.6716716716716717,-13676.724626951664,-16345.05502412218,0
1.6816816816816818,-13840.826967663234,-16442.59583541881,0
1.6916916916916918,-14005.905791994803,-16540.156961355875,0
1.7017017017017018,-14171.9613075411,-16637.739009898294,0
1.7117117117117118,-14338.993728665662,-16735.342502108822,0
1.7217217217217218,-14507.003270512203,-16832.96785360396,0
1.7317317317317318,-14675.990155147092,-16930.615388030477,0
1.7417417417417418,-14845.954605993104,-17028.285332489686,0
1.7517517517517518,-15016.896847004415,-17125.977816134524,0
1.7617617617617618,-15188.817102666611,-17223.692870169565,0
1.7717717717717718,-15361.715597996686,-17321.430427850995,0
1.7817817817817818,-15535.592558543038,-17419.190324486633,0
1.7917917917917918,-15710.44820847096,-17516.972299150537,0
1.8018018018018018,-15886.282765934508,-17614.77599343435,0
1.8118118118118118,-16063.096447252772,-17712.600949556596,0
1.8218218218218218,-16240.889462354942,-17810.446621149775,0
1.8318318318318318,-16419.662014480058,-17908.312373716053,0
1.8418418418418419,-16599.41430017703,-18006.19748462727,0
1.8518518518518519,-16780.14650930462,-18104.101143124954,0
1.8618618618618619,-16961.85882471593,-18202.02245176775,0
1.8718718718718719,-17144.551417837356,-18299.96044177475,0
1.8818818818818819,-17328.22445086092,-18397.91405893125,0
1.8918918918918919,-17512.87807476531,-18495.882183028036,0
1.901901901901902,-17698.512428330872,-18593.863633619778,0
1.911911911911912,-17885.12763813959,-18691.857170025007,0
1.921921921921922,-18072.723818575098,-18789.86149132612,0
1.931931931931932,-18261.301071767713,-18887.87523705678,0
1.941941941941942,-18450.85948516466,-18985.897010168996,0
1.951951951951952,-18641.399131787697,-19083.92536201889,0
1.961961961961962,-18832.920070186476,-19181.958811260287,0
1.971971971971972,-19025.42234371277,-19279.995856367375,0
1.981981981981982,-19218.905980520463,-19378.034975634728,0
1.991991991991992,-19413.370993565575,-19476.07462717729,0
2.002002002002002,-19608.817380606244,-19574.113248930385,0
2.012012012012012,-19805.245124064724,-19672.149278240755,0
2.022022022022022,-20002.654189731962,-19770.181154458212,0
2.032032032032032,-20201.044527662587,-19868.207311107028,0
2.042042042042042,-20400.416072938715,-19966.22620857345,0
2.052052052052052,-20600.76874567202,-20064.236334323174,0
2.062062062062062,-20802.102451003728,-20162.236202901342,0
2.0720720720720722,-21004.417079104627,-20260.224355932547,0
2.0820820820820822,-21207.71250517506,-20358.199362120835,0
2.0920920920920922,-21411.988590381246,-20456.159829651326,0
2.1021021021021022,-21617.245182847,-20554.10443191476,0
2.1121121121121122,-21823.482115924493,-20652.031879074926,0
2.1221221221221223,-22030.6992117385,-20749.94094892211,0
2.1321321321321323,-22238.896281360998,-20847.830488761116,0
2.1421421421421423,-22448.073124811162,-20945.699415411273,0
2.1521521521521523,-22658.229531055378,-21043.546715206423,0
2.1621621621621623,-22869.36527800723,-21141.371443994936,0
2.1721721721721723,-23081.480134153033,-21239.172734347132,0
2.1821821821821823,-23294.57386170186,-21336.949814097068,0
2.1921921921921923,-23508.646213618038,-21434.701990826507,0
2.2022022022022023,-23723.6969378548,-21532.42866479256,0
2.2122122122122123,-23939.72577757835,-21630.129329779564,0
2.2222222222222223,-24156.732471167885,-21727.8035730991,0
2.2322322322322323,-24374.71675221555,-21825.45107558997,0
2.2422422422422423,-24593.678350335904,-21923.0716121964,0
2.2522522522522523,-24813.616995662283,-22020.66505866344,0
2.2622622622622623,-25034.532415648715,-22118.231390237284,0
2.2722722722722724,-25256.424339212408,-22215.770679018293,0
2.2822822822822824,-25479.292497434784,-22313.283094073548,0
2.2922922922922924,-25703.136623561477,-22410.768901436833,0
2.3023023023023024,-25927.956453002338,-22508.22846410865,0
2.3123123123123124,-26153.751723683028,-22605.662241217542,0
2.3223223223223224,-26380.522180768283,-22703.070780900278,0
2.3323323323323324,-26608.267573931586,-22800.454730967547,0
2.3423423423423424,-26836.987660369206,-22897.814823706834,0
2.3523523523523524,-27066.68220604003,-22995.15187191412,0
2.3623623623623624,-27297.350985665573,-23092.466768893897,0
2.3723723723723724,-27528.99378272998,-23189.760488459175,0
2.3823823823823824,-27761.610389480014,-23287.03408493146,0
2.3923923923923924,-27995.20060927742,-23384.28867894021,0
2.4024024024024024,-28229.764258309733,-23481.525459500477,0
2.4124124124124124,-28465.301163857705,-23578.74568612458,0
2.4224224224224224,-28701.811166899868,-23675.950663774624,0
2.4324324324324325,-28939.29412212836,-23773.14174274099,0
2.4424424424424425,-29177.749897948943,-23870.32031864238,0
2.4524524524524525,-29417.178376480977,-23967.487832425777,0
2.4624624624624625,-29657.57945355745,-24064.645770366467,0
2.4724724724724725,-29898.95304019805,-24161.795635720147,0
2.4824824824824825,-30141.29906390719,-24258.938961309686,0
2.4924924924924925,-30384.6174671509,-24356.077309208835,0
2.5025025025025025,-30628.908207910798,-24453.21223744396,0
2.5125125125125125,-30874.171259684095,-24550.34529999381,0
2.5225225225225225,-31120.406611483606,-24647.478046789507,0
2.5325325325325325,-31367.614267837747,-24744.61202371456,0
2.5425425425425425,-31615.794248790524,-24841.748772604857,0
2.5525525525525525,-31864.946589785715,-24938.889828204097,0
2.5625625625625625,-32115.07134075392,-25036.036673695227,0
2.5725725725725725,-32366.168568255624,-25133.19077914299,0
2.5825825825825826,-32618.238352701046,-25230.353575053632,0
2.5925925925925926,-32871.28078758903,-25327.52643840915,0
2.6026026026026026,-33125.29597950702,-25424.710692667308,0
2.6126126126126126,-33380.2840481311,-25521.907607761645,0
2.6226226226226226,-33636.24512622597,-25619.118400101455,0
2.6326326326326326,-33893.17935964496,-25716.344232571802,0
2.6426426426426426,-34151.08690442113,-25813.58619540748,0
2.6526526526526526,-34409.96792704159,-25910.845297652744,0
2.6626626626626626,-34669.82260568001,-26008.122483137566,0
2.6726726726726726,-34930.65112556317,-26105.418608075306,0
2.6826826826826826,-35192.453678948965,-26202.734440938715,0
2.6926926926926926,-35455.2304651264,-26300.070662459915,0
2.7027027027027026,-35718.981690415625,-26397.4278656304,0
2.7127127127127126,-35983.707568167876,-26494.806555701045,0
2.7227227227227226,-36249.408318125235,-26592.2071491628,0
2.7327327327327327,-36516.084159796614,-26689.62995914837,0
2.7427427427427427,-36783.73531790216,-26787.07520132704,0
2.7527527527527527,-37052.36201808598,-26884.542995174797,0
2.7627627627627627,-37321.96448532516,-26982.033362312042,0
2.7727727727727727,-37592.542943929766,-27079.546226503568,0
2.7827827827827827,-37864.097617542895,-27177.08141365857,0
2.7927927927927927,-38136.62872914062,-27274.638651830646,0
2.8028028028028027,-38410.13649958012,-27372.217573258455,0
2.8128128128128127,-38684.62114257428,-27469.81771622669,0
2.8228228228228227,-38960.08286885736,-27567.438519981137,0
2.8328328328328327,-39236.521881920526,-27665.079338031774,0
2.8428428428428427,-39513.93837756762,-27762.739439079676,0
2.8528528528528527,-39792.332543915145,-27860.41800701703,0
2.8628628628628627,-40071.70456139228,-27958.11414092713,0
2.8728728728728727,-40352.054602485376,-28055.826856446718,0
2.8828828828828827,-40633.38282760336,-28153.55510270118,0
2.8928928928928928,-40915.68938693892,-28251.297747683257,0
2.9029029029029028,-41198.974418812264,-28349.05359812153,0
2.9129129129129128,-41483.23804869488,-28446.821406104293,0
2.9229229229229228,-41768.48038920955,-28544.599869079542,0
2.932932932932933,-42054.701540130336,-28642.387629854973,0
2.942942942942943,-42341.90158834357,-28740.183277195127,0
2.952952952952953,-42630.08060573384,-28837.985369604114,0
2.962962962962963,-42919.23864921336,-28935.792420261245,0
2.972972972972973,-43209.375760915,-29033.602915469117,0
2.982982982982983,-43500.49196757387,-29131.41532837047,0
2.992992992992993,-43792.58728052739,-29229.228118948216,0
3.003003003003003,-44085.66169571524,-29327.039734025428,0
3.013013013013013,-44379.71519367938,-29424.848607265332,0
3.023023023023023,-44674.74773967581,-29522.653175441785,0
3.033033033033033,-44970.75928254914,-29620.45188957427,0
3.043043043043043,-45267.74975514802,-29718.24319705275,0
3.053053053053053,-45565.71907571015,-29816.025578849916,0
3.063063063063063,-45864.667147882465,-29913.797550401865,0
3.073073073073073,-46164.59386072121,-30011.557661608105,0
3.083083083083083,-46465.49908869191,-30109.304496831555,0
3.093093093093093,-46767.38269166937,-30207.03667489853,0
3.103103103103103,-47070.24451542806,-30304.752854303544,0
3.113113113113113,-47374.084394174286,-30402.451767981293,0
3.123123123123123,-47678.90214762521,-30500.13219380695,0
3.133133133133133,-47984.697584672846,-30597.79297855826,0
3.143143143143143,-48291.470504033285,-30695.433043668545,0
3.153153153153153,-48599.22069424666,-30793.051385226685,0
3.163163163163163,-48907.94793367715,-30890.64707397713,0
3.173173173173173,-49217.651990513,-30988.219255319887,0
3.183183183183183,-49528.33262425588,-31085.767154833648,0
3.193193193193193,-49839.98958914708,-31183.290095162658,0
3.203203203203203,-50152.622631139915,-31280.787483120654,0
3.2132132132132134,-50466.23149217146,-31378.258820015973,0
3.2232232232232234,-50780.815910437406,-31475.703702509578,0
3.2332332332332334,-51096.37562039212,-31573.121822615085,0
3.2432432432432434,-51412.910352748586,-31670.512967698738,0
3.2532532532532534,-51730.419835315384,-31767.877020705393,0
3.2632632632632634,-52048.90379750106,-31865.21396502014,0
3.2732732732732734,-52368.36196711804,-31962.523884597296,0
